PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40611132,Role of senescent CD4+ T cells in breakthrough infection of the new variant strain of SARS-CoV-2 in elderly patients.,2025 Jul 03,"Zhaoyuan Liang, Hua Zhang, Lu Xu, Nan Li, Zhongnan Yin, Zhengyang Guo, Yuqing Wang, Lixiang Xue, Jie Zhang, Lin Zeng, Jianling Yang, Siyan Zhan","Center of Basic Medical Research, Institute of Medical Innovation and Research, Peking University Third Hospital, Beijing, 100191, China. zhangdiaojie@163.com.; Center of Basic Medical Research, Institute of Medical Innovation and Research, Peking University Third Hospital, Beijing, 100191, China.; Center of Basic Medical Research, Institute of Medical Innovation and Research, Peking University Third Hospital, Beijing, 100191, China. jianlingyang@pku.edu.cn.; Biobank, Institute of Medical Innovation and Research, Peking University Third Hospital, Beijing, 100191, China.; Research Center of Clinical Epidemiology, Institute of Medical Innovation and Research, Peking University Third Hospital, Beijing, 100191, China. zlwhy@163.com.; Research Center of Clinical Epidemiology, Institute of Medical Innovation and Research, Peking University Third Hospital, Beijing, 100191, China.",zhangdiaojie@163.com.
40610705,Exposure to COVID-19 virus-like particles modulates firing patterns of cortical neurons in the mouse brain.,2025 Jul 03,"Aniruddha Das, Jacob Icardi, Julie Borovicka, Hod Dana","Department of Neurosciences, Lerner Research Institute, Cleveland Clinic Foundation, Cleveland, OH, USA. danah@ccf.org.; Department of Neurosciences, Lerner Research Institute, Cleveland Clinic Foundation, Cleveland, OH, USA.",danah@ccf.org.
40610010,Cohort profile: Cardiovascular Metabolic Etiological Research Center COVID-19 Mental Health Survey (CC-MHS).,2025 Jun 30,Changhyun Kim,"Jeonbuk National University Medical School, Jeonju, Korea.",N/A
40609994,Multiepitope mRNA Vaccine mRNA-mEp21-FL-IDT Provides Efficient Protection against M. tuberculosis.,2025 Jun,"Galina S Shepelkova, Vladimir V Yeremeev","Central Tuberculosis Research Institute, Moscow, 107564, Russia.",N/A
40609232,The COVID-19 vaccination health literacy questionnaire (CVHL-Q): Design and validation according to classic psychometric and Rasch analyses.,2025 Jul 02,"Alba Ayala, Pilar Bas-Sarmiento, Martina Fernandez-Gutiérrez, Maria Falcon, María Romay-Barja, Maria João Forjaz","Nursing and Healthcare research Unit (Investén-isciii), Carlos III Health Institute, Madrid, Spain; Health Services Research on Chronic Patients Network (REDISSEC), Madrid, Spain.; National Centre of Tropical Medicine, Carlos III Health Institute, Madrid, Spain; Centre for Biomedical Research in Infectious Diseases Network (CIBERINFEC), Madrid, Spain.; Department of Legal and Forensic Medicine, Biomedical Research Institute (IMIB), University of Murcia, Murcia, Spain.; National Epidemiology Centre, Carlos III Health Institute, Madrid, Spain; Health Services Research on Chronic Patients Network (REDISSEC), Madrid, Spain.; Nursing and Physioteraphy Department, University of Cádiz, Institute of Research and Innovation in Biomedical Sciences of the Province of Cadiz (INIBICA), Andalusia, Spain.; Nursing and Physioteraphy Department, University of Cádiz, Institute of Research and Innovation in Biomedical Sciences of the Province of Cadiz (INIBICA), Andalusia, Spain. Electronic address: martina.fernandez@uca.es.",martina.fernandez@uca.es.
40608738,"Uptake, knowledge, attitudes, and practices toward seasonal influenza vaccination among community healthcare workers during the COVID-19 pandemic in Chongqing Municipality, China: A cross-sectional study.",2025,"Jiajing Zheng, Jiaxi Xie","School of Public Health, Chongqing Medical University, Chongqing, China.; Information Technology Center, West China Hospital, Sichuan University, Chengdu, Sichuan Province, China.",N/A
40608708,A survey on the situation and risk factors of secondary infection after the second wave of the Omicron COVID-19 in China.,2025 Jun 30,"Yingkai Xu, Zihan Yuan, Junying Li, Lei Liu","Medical College, Wuhan University of Science and Technology, Wuhan 430065, Hubei, China.",N/A
40608518,Early innate immune response and evolution of a SARS-CoV-2 furin cleavage site inactive variant in bat cells.,2025 Jul 01,"Yoan Machado, Kimberley C Siwak, Emmanuelle V LeBlanc, Kumari G Lokugamage, Michelle N Vu, Angelica Morgan, Hannah D Stacey, Winfield Yim, Andrew G McArthur, Matthew S Miller, Samira Mubareka, Vineet D Menachery, Karen Mossman, Marcel A Müller, Christian Drosten, Che C Colpitts, Christopher M Overall","Michael G. DeGroote Institute for Infectious Disease Research, McMaster University, Hamilton, ON, Canada; McMaster Immunology Research Centre, McMaster University, Hamilton, ON, Canada; Department of Medicine, McMaster University, Hamilton, ON, Canada.; Michael G. DeGroote Institute for Infectious Disease Research, McMaster University, Hamilton, ON, Canada; Department of Biochemistry and Biomedical Sciences, McMaster University, Hamilton, ON, Canada.; Department of Microbiology and Immunology, University of Texas Medical Branch, Galveston, TX, USA; Institute for Human Infection and Immunity, University of Texas Medical Branch, Galveston, TX, USA; Center for Biodefense and Emerging Infectious Diseases, University of Texas Medical Branch, Galveston, TX, USA.; Sunnybrook Research Institute, Toronto, ON, Canada; Department of Laboratory Medicine and Pathobiology, University of Toronto, Toronto, ON, Canada.; Department of Biochemistry and Molecular Biology, University of British Columbia, Vancouver, BC, Canada; Centre for Blood Research, Life Sciences Institute, University of British Columbia, Vancouver, BC, Canada; Department of Oral Biological and Medical Sciences, Faculty of Dentistry, University of British Columbia, Vancouver, BC, Canada.; Michael G. DeGroote Institute for Infectious Disease Research, McMaster University, Hamilton, ON, Canada; McMaster Immunology Research Centre, McMaster University, Hamilton, ON, Canada; Department of Biochemistry and Biomedical Sciences, McMaster University, Hamilton, ON, Canada.; Department of Biomedical and Molecular Sciences, Queen's University, Kingston, ON, Canada.; Charité-Universitätsmedizin Berlin, Corporate Member of Freie Universität Berlin, Humboldt-Universität zu Berlin, and Berlin Institute of Health, Institute of Virology, Berlin, Germany; German Center for Infection Research (DZIF), Partner Site Charité, Berlin, Germany.",N/A
40608426,MICBG406A polymorphism reduces risk of mechanical ventilation and death during viral acute lung injury.,2025 Jul 03,"Hanno Steen, Ofer Levy, Lindsey R Baden, Rafick P Sekaly, Charles B Cairns, David B Corry, Farrah Kheradmand, Al Ozonoff, Matthew C Altman, Steven E Bosinger","Center for AIDS Research, Case Western Reserve University and University Hospitals of Cleveland, Cleveland, United States of America.; Precision Vaccines Program, Boston Children's Hospital, Harvard Medical School, Boston, United States of America.; Benaroya Research Institute, University of Washington, Seattle, United States of America.; Center for Translational Research on Inflammatory Diseases, Baylor College of Medicine, Houston, United States of America.; Department of Medicine, Children's Hospital Boston, Harvard Medical School, Boston, United States of America.; Yerkes National Primate Research Center and Emory Vaccine Center, Emory University School of Medicine, Atlanta, United States of America.; Medical Affairs, Drexel University College of Medicine, Philadelphia, United States of America.; Precision Vaccines Program, Children's Hospital Boston, Harvard Medical School, Boston, United States of America.; Infectious Diseases, Brigham and Womens Hospital, Harvard Medical School, Boston, United States of America.",N/A
40607311,Vaccine hesitancy in an allergy and immunology clinic in an underserved community.,2025 Aug,"Nanette Silverberg, Khin Wathan, Mary F Lee-Wong","Maimonides Medical Center, Brooklyn, NY.",N/A
40607062,Comprehensive clinical and metabolomics profiling of COVID-19 Mexican patients across three epidemiological waves.,2025,"David Alejandro García-López, Joel Monárrez-Espino, Juan Carlos Borrego-Moreno, Juan José Oropeza-Valdez, Sergio Hugo Sánchez Rodríguez, Jesús Adrián López, Blanca Estela Calzada Rodríguez, Yamilé López-Hernández","Departamento de investigación en salud, Hospital Christus Muguerza Chihuahua, Chihuahua, Mexico.; Centro de Ciencias de la Complejidad, Human Systems Biology Laboratory, Universidad Nacional Autónoma de México, Ciudad de Mexico, Mexico.; Cell Biology and Neurobiology Laboratory, Academic Unit for Biological Sciences, Autonomous University of Zacatecas, Zacatecas, Mexico.; Departmento de Epidemiología, Hospital General de Zona #1, Instituto Mexicano del Seguro Social, Zacatecas, Mexico.; Metabolomics and Proteomics Laboratory, Academic Unit for Biological Sciences, Autonomous University of Zacatecas, Zacatecas, Mexico.; MicroRNAs and Cancer Laboratory, Academic Unit for Biological Sciences, Autonomous University of Zacatecas, Zacatecas, Mexico.",N/A
40606627,Effectiveness and safety of azvudine in the treatment of COVID-19 patients: a retrospective cohort study using propensity score matching.,2025,"Jing Zhang, Fang Wang, Ying Xie, Qianyu Li, Zhenzhen Zhu, Yuan Dong","Department of Pharmacy, Medical Security Center Stationed in the 5th Medical Center Pharmacy Room, People's Liberation Army of China General Hospital, Beijing, China.",N/A
40605422,Longitudinal Innate and Heterologous Adaptive Immune Responses to SARS-CoV-2 JN.1 in Transplant Recipients With Prior Omicron Infection: Limited Neutralization but Robust CD4+ T-Cell Activity.,2025 Jul 02,"Victor H Ferreira, Brandon Keith, Faranak Mavandadnejad, Alejandro Ferro, Sara Marocco, Golnaz Amidpour, Alexandra Kurtesi, Freda Qi, Anne-Claude Gingras, Victoria G Hall, Deepali Kumar, Atul Humar","University Health Network (UHN) Ajmera Transplant Centre, Toronto General Hospital Research Institute (TGHRI), Toronto, Ontario, Canada.; Lunenfeld-Tanenbaum Research Institute, Sinai Health, Toronto, Ontario, Canada.",N/A
40604985,"Epidemiological characteristics of acute respiratory infectious diseases in the first year after COVID-19 pandemic in Guangdong Province, China.",2025 Jul 02,"Ting Hu, Yali Zhuang, Lirong Zou, Zhencui Li, Yihong Li, Yan Li, Min Kang, Aiping Deng","Institute of Pathogenic Microbiology, Guangdong Provincial Center for Disease Control and Prevention, Guangzhou, Guangdong, People's Republic of China.; Institute of Infectious Disease Control and Prevention, Guangdong Provincial Center for Disease Control and Prevention, 160 Qunxian Road, Guangzhou, 511430, Guangdong, People's Republic of China. kangmin@yeah.net.; Institute of Infectious Disease Control and Prevention, Guangdong Provincial Center for Disease Control and Prevention, 160 Qunxian Road, Guangzhou, 511430, Guangdong, People's Republic of China. dapgdeis@163.com.; Guangdong Provincial Center for Disease Control and Prevention, Guangzhou, Guangdong, People's Republic of China.; Institute of Infectious Disease Control and Prevention, Guangdong Provincial Center for Disease Control and Prevention, 160 Qunxian Road, Guangzhou, 511430, Guangdong, People's Republic of China.",kangmin@yeah.net.
40604557,Changes in the choice of anaesthetic techniques for caesarean sections among Turkish citizens and migrants during the COVID-19 pandemic: an interrupted time series analysis.,2025 Jul 02,"Sevim Baltali, Ayşegül Ercan, Umut Deniz Akdağ, Mehmet Toptaş","Department of Obstetrics and Gynecology, Istanbul Training and Research Hospital, University of Health Sciences, Kasap İlyas Mah. Org. Abdurrahman Nafiz Gürman Cd, Fatih, Istanbul, 34098, Turkey.; Department of Anesthesiology and Reanimation, Istanbul Training and Research Hospital, University of Health Sciences, Kasap İlyas Mah. Org. Abdurrahman Nafiz Gürman Cd. 34098 Fatih, Istanbul, Turkey. s_baltali@yahoo.com.; Department of Anesthesiology and Reanimation, Istanbul Training and Research Hospital, University of Health Sciences, Kasap İlyas Mah. Org. Abdurrahman Nafiz Gürman Cd. 34098 Fatih, Istanbul, Turkey.",s_baltali@yahoo.com.
40604541,"Epidemiological trends of hand, foot, and mouth disease in children under age 10, Jiangning District, Jiangsu, China (2009-2023).",2025 Jul 02,"Xiangnan Zhang, Xiaoming Ji","Department of Occupational Medicine and Environmental Health, School of Public Health, Nanjing Medical University, 101 Longmian Avenue, Nanjing, 211166, China.; Department of Occupational Medicine and Environmental Health, School of Public Health, Nanjing Medical University, 101 Longmian Avenue, Nanjing, 211166, China. xmji@njmu.edu.cn.",xmji@njmu.edu.cn.
40604500,"Characteristics of healthcare providers, healthcare systems, and patient strategies related to medical mistrust among black and African Americans.",2025 Jul 02,"Kelly W Gagnon, Katherine Quinn, Jennifer L Walsh, Yuri A Amirkhanian, Jeffrey A Kelly","Center for AIDS Intervention Research, Department of Psychiatry and Behavioral Medicine, Medical College of Wisconsin, 2153 N. Dr. Martin Luther King, Jr. Drive, Milwaukee, WI, 53212, USA. kwgagnon@mcw.edu.; Center for AIDS Intervention Research, Department of Psychiatry and Behavioral Medicine, Medical College of Wisconsin, 2153 N. Dr. Martin Luther King, Jr. Drive, Milwaukee, WI, 53212, USA.",kwgagnon@mcw.edu.
40604359,Hospitalization for COVID-19 and Risk Factors for Severe Disease Among Children: 2022-2024.,2025 Jul 03,"Chad Smelser, H Keipp Talbot","Vanderbilt University Medical Center, Nashville, Tennessee.; New Mexico Department of Health, Santa Fe, New Mexico.",N/A
